session	run	file
1	1	stimuli/S01E01R01.mp4
1	2	stimuli/S01E01R02.mp4
1	3	stimuli/S01E01R03.mp4
1	4	stimuli/S01E01R04.mp4
1	5	stimuli/S01E01R05.mp4
1	6	stimuli/S01E01R06.mp4
2	1	stimuli/S01E02R01.mp4
2	2	stimuli/S01E02R02.mp4
2	3	stimuli/S01E02R03.mp4
2	4	stimuli/S01E02R04.mp4
2	5	stimuli/S01E02R05.mp4
2	6	stimuli/S01E02R06.mp5
2	7	stimuli/S01E02R07.mp5
3	1	stimuli/S01E03R01.mp4
3	2	stimuli/S01E03R02.mp4
3	3	stimuli/S01E03R03.mp4
3	4	stimuli/S01E03R04.mp4
3	5	stimuli/S01E03R05.mp4
3	6	stimuli/S01E03R06.mp4
4	1	stimuli/S01E04R01.mp4
4	2	stimuli/S01E04R02.mp4
4	3	stimuli/S01E04R03.mp4
4	4	stimuli/S01E04R04.mp4
4	5	stimuli/S01E04R05.mp4
4	6	stimuli/S01E04R06.mp4
